# FEAT_ID     Score                   Feature Expression
33            0.52861585629786545     (((mean_IP+5.958738e+01) / (lambda3-4.780073e-02)) + 5.008130e+02*((std_EA+4.393643e+00) / (mean_PE-2.404554e+00)))
34            0.529016148421892818    (((wtd_mean_PE-6.953018e+01) / (lambda3-4.780240e-02)) + 4.205726e-02*((wtd_mean_IP-5.775437e+04) / (mean_PE-2.407251e+00)))
35            0.529065192636848036    (((std_IP-3.212900e+01) / (lambda3-4.780639e-02)) + 5.810240e+01*((wtd_std_EA-1.929597e+01) / (mean_PE-2.407598e+00)))
36            0.529891392482673473    (((L_avg+4.139763e+01) / (lambda3-4.778412e-02)) + 2.822522e-01*((wtd_std_at_rad+6.050818e+03) / (mean_PE-2.406973e+00)))
37            0.530028819435655718    (((L_avg+4.957691e+01) / (lambda3-4.777999e-02)) + 1.666598e+02*((wtd_range_PE+1.132822e+01) / (mean_PE-2.405042e+00)))
38            0.530049468651698108    (((wtd_mean_at_mass+6.402398e+01) / (lambda3-4.764318e-02)) + 6.863039e+00*((std_at_mass+8.063382e+02) / (mean_PE-2.408067e+00)))
39            0.530078635343558258    (((wtd_std_PE+2.300058e+01) / (lambda3-4.777956e-02)) + 3.212338e-01*((wtd_std_at_rad+2.657409e+03) / (mean_PE-2.407016e+00)))
40            0.530405828443192395    (((L_avg+3.067173e+01) / (lambda3-4.777886e-02)) + 5.047402e+01*((wtd_std_PE+2.546970e+01) / (mean_PE-2.406133e+00)))
41            0.531124828399373361    (((wtd_range_at_mass+6.859205e+01) / (lambda3-4.772612e-02)) + 1.699453e+01*((std_at_mass+1.801438e+02) / (mean_PE-2.409426e+00)))
42            0.53114344695981619     ((((wtd_mean_EA-3.362946e-01) / (wtd_mean_at_rad-1.126466e+00))+8.852354e+00) * (((range_at_mass-4.811686e+01) / (lambda3-4.814334e-02))+2.247990e+02))
43            0.531155873576580784    (((V_molar-1.004197e+02) / (lambda4w_low-4.709919e+00)) + 3.033525e-01*((range_ThermalCond-1.127434e+02) / (wtd_mean_PE-2.398421e+00)))
44            0.531289840901350119    (((L_avg+3.286878e+01) / (lambda3-4.778346e-02)) + 7.635001e+01*((mean_EA+1.747415e+01) / (mean_PE-2.406977e+00)))
45            0.531620820063794741    (((L_avg+9.835828e+01) / (lambda3-4.773894e-02)) + 4.268182e+00*((bulk_mod+6.457704e+02) / (mean_PE-2.410231e+00)))
46            0.531784861178354551    (((wtd_mean_IP+2.108796e+01) / (lambda3-4.781118e-02)) + 5.596528e+01*((wtd_mean_EA+1.785390e+01) / (mean_PE-2.407110e+00)))
47            0.531993922054938118    (((density-8.207551e+01) / (lambda3-4.724140e-02)) + 3.368933e-01*((mean_at_rad-2.579226e+04) / (mean_PE-2.404785e+00)))
48            0.532374339358630655    ((((std_PE+4.328820e+00) / (mean_PE-2.400222e+00))+2.811566e+01) * ((1.0 / (lambda3-4.760777e-02))+1.471506e+02))
49            0.538394444629504587    (((lambda+6.259602e+01) / (wtd_mean_at_rad-1.284188e+00)) + 2.093150e+00*((mean_ThermalCond+8.604856e+02) / (wtd_mean_PE-2.404995e+00)))
50            0.542496970060236228    ((((wtd_mean_PE-1.409897e-01) / (lambda3-4.750136e-02))+3.779382e+02) * (((wtd_mean_at_rad-1.068853e+01) / (mean_PE-2.384901e+00))-7.722852e+01))
51            0.544260415567283107    (((wtd_mean_PE-4.796654e+01) / (lambda3-4.761954e-02)) + 1.191501e+03*((wtd_std_at_rad-1.912876e+00) / (wtd_mean_PE-2.395472e+00)))
52            0.545451050823207884    (((mean_IP+5.728140e+01) / (lambda3-4.780247e-02)) + 2.889545e+03*((wtd_std_at_rad+3.781850e-01) / (mean_PE-2.407321e+00)))
53            0.545614953215013965    (((wtd_mean_at_mass+9.288728e+01) / (lambda3-4.761898e-02)) + 2.960544e+00*((range_ThermalCond+2.320366e+03) / (wtd_mean_PE-2.403349e+00)))
54            0.545679041563816414    (((mean_at_rad+9.542211e+01) / (lambda3-4.773562e-02)) + 7.501184e+02*((wtd_mean_at_rad+3.585780e+00) / (wtd_mean_PE-2.402257e+00)))
55            0.546405976844913877    (((range_at_rad-2.999446e+01) / (lambda3-4.773470e-02)) + 6.759228e-01*((wtd_std_EA-1.600886e+03) / (wtd_mean_PE-2.402416e+00)))
56            0.54717139194075981     (((range_at_rad-1.395100e+01) / (lambda3-4.773212e-02)) + 1.252473e+01*((wtd_range_PE-3.987682e+01) / (wtd_mean_PE-2.402147e+00)))
57            0.54817690419692866     (((mean_at_mass+1.116629e-01) / (lambda3-4.746565e-02)) + 2.573415e-03*((range_ThermalCond+1.427367e+06) / (wtd_mean_PE-2.405286e+00)))
58            0.549449820319124149    (((V_molar-1.040635e+02) / (mean_PE-2.394598e+00)) + 6.255973e-02*((range_ThermalCond+1.615063e+03) / (mean_IP-8.378919e+00)))
59            0.55027595409580099     (((V_molar+1.017773e+02) / (wtd_mean_PE-2.391939e+00)) + 3.173295e-04*((std_PE+9.668140e+03) / (lambda3-4.759253e-02)))
#-----------------------------------------------------------------------
60            0.364786701708999461    ((((wtd_mean_IP+1.046171e+02) * (L_avg-1.006476e+01))+7.163894e+02) * (((wtd_std_PE-3.403995e-01) / (lambda-9.000137e-01))-2.891010e-01))
61            0.364891095476079175    (((bulk_mod+6.710632e+01) / (L_avg-7.523661e+00)) + 6.154670e-04*((mean_IP+1.163246e+05) / (density-1.205934e+01)))
62            0.365226787453431179    ((((lambda4w_low-1.105314e+01) / (lambda3+7.152641e-01))+3.954405e+01) * (((wtd_range_at_mass+8.840254e+01) * (wtd_std_at_rad+3.668376e-01))-1.172282e+01))
