error_xie,error_optimal
0.03847201338101,0.00542486484398
0.0536558890815,0.1182915402545
0.0638416690296,0.16300824461217
0.24264347924018,0.16696615373911
0.24717255376776,0.18105814024523
0.32428487741819,0.19472058298115
0.32459497932595,0.23156417265499
0.41560815409971,0.23246815387519
0.44646810397902,0.23455860107773
0.46857240020283,0.25725756270187
0.48194730180564,0.35893983074878
0.49681980697582,0.50738066713377
0.51103139288568,0.52164347953607
0.557631237707218,0.65131023642445
0.567466198914638,0.68319067527544
0.59146284235549,0.68505374949688
0.59165676612696,0.74092742388729
0.59605534848249,0.77079252873409
0.65466101081442,0.77197434981437
0.6709838359028,0.77451814189304
0.79216535852293,0.78196886599478
0.80824465099946,0.87660412482194
0.8236498151738,0.89714410570702
0.85134403142059,0.96858935561583
0.86125817557406,0.99273381845215
0.88032131370188,1.01417962057634
0.95015559799356,1.05348774719497
0.95045069595512,1.08508218746573
0.98251626089464,1.08688055106054
1.03857270770574,1.09553588914848
1.04203303349735,1.1155492990122
1.11030440987139,1.13691978935007
1.17652266447162,1.18390881016745
1.27089186616825,1.18633292975646
1.3045822527071,1.20104765356929
1.3138248027823,1.21173570036166
1.37646189517721,1.21284973809001
1.46532921705531,1.22882162698834
1.48566218023474,1.31481547254736
1.48992646647295,1.3304820238367
1.4950063237526,1.44231156047485
1.58771414601719,1.46937593098573
1.70812076247299,1.47865772653463
1.73017919267271,1.54200699247873
1.84014775686301,1.54214694194932
1.92129887813378,1.67255974158511
1.92197166882807,1.68917644627349
1.99013685850424,1.69025236450294
2.12248003829736,1.79705614658595
2.15082916262498,1.86296587616659
2.46939381268752,1.93571696377371
2.56364272433549,1.94066562496506
2.6263744274672,2.0542132505622
2.65078807129215,2.08656236492508
2.95923372105774,2.11294740934114
2.99370877416115,2.16368680347429
3.19141172697375,2.21526071580619
3.21207020152648,2.24544522559738
3.23698363817073,2.28598377738251
3.28099568573972,2.38827379757782
3.38332227635736,2.46751556110565
3.75283762646792,2.48713811335028
3.7676571303399,2.72004873511373
3.85143413038953,2.73587181959289
3.86396075826609,2.76907581006778
3.88591285188799,2.80310327825366
4.10535321475346,2.86630498785991
4.15926627353113,3.04791028429762
4.23252728068142,3.0899189856451
4.28075632264221,3.20527611176048
4.49542934367103,3.8180694881987
4.5123225906194,3.98475524798976
4.65953029973282,4.03535023477207
4.79074562293762,4.13783118822016
5.56828387146645,4.15490306178591
5.6961603762378,4.38079148302321
5.74542575166879,4.44016752406124
6.00368831076479,5.2012158972814
9.4104330913973,5.29500466508588
11.1161482715955,5.87916768170564
30.0465365823506,6.41617580127393
