3dsc_formula,Tc_exp (K),lambda,w_log (eV),lambda4w_low (eV),lambda3,L_avg (AA),density (g / cm^3),V_molar (cm^3 / mol),at_mass_mean (g / mol),at_mass_wtd_mean (g / mol),at_mass_range (g / mol),at_mass_wtd_range (g / mol),at_mass_std (g / mol),at_mass_wtd_std (g / mol),at_rad_mean (AA),at_rad_wtd_mean (AA),at_rad_range (AA),at_rad_wtd_range (AA),at_rad_std (AA),at_rad_wtd_std (AA),IP_mean (eV),IP_wtd_mean (eV),IP_range (eV),IP_wtd_range (eV),IP_std (eV),IP_wtd_std (eV),PE_mean,PE_wtd_mean,PE_range,PE_wtd_range,PE_std,PE_wtd_std,EA_mean (eV),EA_wtd_mean (eV),EA_range (eV),EA_wtd_range (eV),EA_std (eV),EA_wtd_std (eV),ThermalCond_mean (W / m K),ThermalCond_wtd_mean (W / m K),ThermalCond_range (W / m K),ThermalCond_wtd_range (W / m K),ThermalCond_std (W / m K),ThermalCond_wtd_std (W / m K)
Rh1Se2,4.35,0.7958,0.01418,0.00569,0.50398,5.9857,8.0789,32.2874,90.9383,86.9492,23.9345,10.6376,11.9673,11.2828,1.3100,1.2733,0.2200,0.0978,0.1100,0.1037,8.6055,8.9877,2.2930,1.0191,1.1465,1.0809,2.4150,2.4600,0.2700,0.1200,0.1350,0.1273,1.5790,1.7263,0.8840,0.3929,0.4420,0.4167,75.2600,50.3467,149.4800,66.4356,74.7400,70.4655
Al1Au2Sc1,4.4,0.9549,0.00495,0.00411,0.87071,4.5944,11.2807,41.2981,118.9512,138.4550,169.9850,58.5115,70.0941,69.4700,1.6700,1.5925,1.2300,0.4238,0.5479,0.4931,6.3687,7.0830,5.3320,2.1430,2.1935,2.2670,1.6467,1.8700,1.7500,0.6700,0.7149,0.7300,1.0740,1.3828,1.8680,0.9263,0.8734,0.9263,190.3333,222.7500,304.0000,103.3750,128.0634,124.3088
B2Nb1,4.5975,0.7295,0.03059,0.00866,0.38822,3.1603,6.9655,16.4419,51.8587,38.1761,82.0954,36.4868,41.0477,38.7001,1.2400,1.1067,0.8000,0.3556,0.4000,0.3771,7.5285,7.7850,1.5390,0.6840,0.7695,0.7255,1.8200,1.8933,0.4400,0.1956,0.2200,0.2074,0.5850,0.4823,0.6160,0.2738,0.3080,0.2904,40.5000,36.0000,27.0000,12.0000,13.5000,12.7279
Pb3Y1,4.72,1.0231,0.00613,0.00672,1.07091,4.7994,10.6725,66.5736,148.0529,177.6265,118.2942,44.3603,59.1471,51.2229,1.6800,1.5700,0.4400,0.1650,0.2200,0.1905,6.8170,7.1170,1.2000,0.4500,0.6000,0.5196,1.7750,2.0525,1.1100,0.4163,0.5550,0.4806,0.3335,0.3468,0.0530,0.0199,0.0265,0.0229,26.1000,30.5500,17.8000,6.6750,8.9000,7.7076
Bi2Cs1,4.75,0.5253,0.00596,0.00045,0.14495,6.7917,8.2586,66.7019,170.9429,183.6221,76.0749,33.8111,38.0375,35.8621,1.9600,1.8000,0.9600,0.4267,0.4800,0.4525,5.5915,6.1573,3.3950,1.5089,1.6975,1.6004,1.4050,1.6100,1.2300,0.5467,0.6150,0.5798,0.7090,0.7880,0.4740,0.2107,0.2370,0.2234,22.0000,17.3333,28.0000,12.4444,14.0000,13.1993
Al1Si1Sr1,4.75,0.8943,0.01155,0.00739,0.71524,4.3729,3.2804,43.4965,47.5623,47.5623,60.6385,26.7051,28.3286,28.3286,1.4233,1.4233,0.8400,0.3511,0.3746,0.3746,6.6110,6.6110,2.4570,1.0273,1.0961,1.0961,1.4867,1.4867,0.9500,0.3578,0.3975,0.3975,0.6087,0.6087,1.3850,0.5176,0.5777,0.5777,140.0000,140.0000,200.0000,70.0000,81.9553,81.9553
Pd2Sn1Y1,4.81444444433333,1.0615,0.00486,0.00617,1.19608,4.7291,9.3355,45.0386,104.6786,105.1140,29.8042,8.1041,12.2296,10.6180,1.5600,1.5175,0.5100,0.1913,0.2404,0.2208,7.2993,7.5588,2.1200,0.7783,0.8661,0.8743,1.7933,1.8950,0.9800,0.3375,0.4171,0.4018,0.6880,0.6553,0.8930,0.2724,0.3761,0.3307,51.9333,56.9500,54.8000,19.8750,24.6589,23.0553
Br2C2Y2,5.05,0.7755,0.01463,0.00529,0.46639,6.0064,4.6424,38.9496,60.2735,60.2735,76.8951,32.1752,34.3243,34.3243,1.2767,1.2767,1.1700,0.4156,0.4807,0.4807,9.7637,9.7637,5.5970,2.3644,2.5180,2.5180,2.2433,2.2433,1.7400,0.6822,0.7427,0.7427,1.6450,1.6450,3.0580,1.1467,1.2773,1.2773,52.4400,52.4400,139.8800,58.3733,62.3057,62.3057
Ir1Mo1,5.325,0.5539,0.01886,0.00178,0.16994,3.9825,16.4981,17.4667,144.0835,144.0835,96.2670,48.1335,48.1335,48.1335,1.4750,1.4750,0.1300,0.0650,0.0650,0.0650,8.0960,8.0960,2.0080,1.0040,1.0040,1.0040,2.1800,2.1800,0.0400,0.0200,0.0200,0.0200,1.1555,1.1555,0.8190,0.4095,0.4095,0.4095,144.5000,144.5000,11.0000,5.5000,5.5000,5.5000
N1Ti1,5.3875,0.6890,0.03363,0.00758,0.32708,2.9712,5.5398,11.1690,30.9369,30.9369,33.8603,16.9301,16.9301,16.9301,1.1550,1.1550,0.8900,0.4450,0.4450,0.4450,10.6810,10.6810,7.7060,3.8530,3.8530,3.8530,2.2900,2.2900,1.5000,0.7500,0.7500,0.7500,0.0395,0.0395,0.0790,0.0395,0.0395,0.0395,10.9629,10.9629,21.8742,10.9371,10.9371,10.9371
Ga1,5.527454545,1.3173,0.00622,0.01874,2.28588,3.8879,6.4753,10.7676,69.7230,69.7230,0.0000,0.0000,0.0000,0.0000,1.2200,1.2200,0.0000,0.0000,0.0000,0.0000,5.9990,5.9990,0.0000,0.0000,0.0000,0.0000,1.8100,1.8100,0.0000,0.0000,0.0000,0.0000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,29.0000,29.0000,0.0000,0.0000,0.0000,0.0000
B6Y1,5.692857143,1.6502,0.00514,0.03812,4.49376,4.0742,3.7755,40.7276,49.8584,21.9674,78.0948,19.1253,39.0474,27.3275,1.3700,0.9914,1.0600,0.2596,0.5300,0.3709,7.2575,8.0007,2.0810,0.5096,1.0405,0.7282,1.6300,1.9229,0.8200,0.2008,0.4100,0.2869,0.2920,0.2813,0.0300,0.0073,0.0150,0.0105,22.1000,25.6000,9.8000,2.4000,4.9000,3.4293
Bi3Sr1,5.7,0.8233,0.00553,0.00254,0.55805,4.9840,9.5842,74.5560,148.3002,178.6403,121.3604,45.5102,60.6802,52.5506,1.7150,1.5975,0.4700,0.1763,0.2350,0.2035,6.4920,6.8905,1.5940,0.5978,0.7970,0.6902,1.4850,1.7525,1.0700,0.4013,0.5350,0.4633,0.4730,0.7095,0.9460,0.3548,0.4730,0.4096,21.5000,14.7500,27.0000,10.1250,13.5000,11.6913
Ba1Bi3,5.745,1.3453,0.00397,0.01301,2.43477,5.0658,9.7625,78.2858,173.1537,191.0671,71.6534,26.8700,35.8267,31.0268,1.8150,1.6475,0.6700,0.2513,0.3350,0.2901,6.2505,6.7698,2.0770,0.7789,1.0385,0.8994,1.4550,1.7375,1.1300,0.4238,0.5650,0.4893,0.4730,0.7095,0.9460,0.3548,0.4730,0.4096,13.0000,10.5000,10.0000,3.7500,5.0000,4.3301
Nb1S2,5.821818182,1.7028,0.01357,0.11410,4.93732,6.0954,4.7379,33.1429,62.4862,52.3461,60.8404,27.0402,30.4202,28.6804,1.3450,1.2467,0.5900,0.2622,0.2950,0.2781,8.5595,9.1597,3.6010,1.6004,1.8005,1.6975,2.0900,2.2533,0.9800,0.4356,0.4900,0.4620,1.4850,1.6823,1.1840,0.5262,0.5920,0.5581,27.1025,18.1367,53.7950,23.9089,26.8975,25.3592
C1Mo2,6.021666667,0.4653,0.02562,0.00120,0.10074,3.5608,9.2082,22.1445,53.9804,67.9702,83.9393,37.3064,41.9697,39.5694,1.1350,1.2700,0.8100,0.3600,0.4050,0.3818,9.1760,8.4813,4.1680,1.8524,2.0840,1.9648,2.3550,2.2900,0.3900,0.1733,0.1950,0.1838,1.0045,0.9183,0.5170,0.2298,0.2585,0.2437,139.5000,139.3333,1.0000,0.4444,0.5000,0.4714
Rh2Sr1,6.2,1.0546,0.00679,0.00839,1.17291,5.3855,8.8231,33.2570,95.2628,97.8103,15.2855,6.7936,7.6428,7.2057,1.6850,1.5967,0.5300,0.2356,0.2650,0.2498,6.5770,6.8710,1.7640,0.7840,0.8820,0.8316,1.6150,1.8367,1.3300,0.5911,0.6650,0.6270,0.5685,0.7580,1.1370,0.5053,0.5685,0.5360,92.5000,111.6667,115.0000,51.1111,57.5000,54.2115
Pb1,6.4701,0.8895,0.00515,0.00323,0.70378,6.3766,11.1854,18.5242,207.2000,207.2000,0.0000,0.0000,0.0000,0.0000,1.4600,1.4600,0.0000,0.0000,0.0000,0.0000,7.4170,7.4170,0.0000,0.0000,0.0000,0.0000,2.3300,2.3300,0.0000,0.0000,0.0000,0.0000,0.3600,0.3600,0.0000,0.0000,0.0000,0.0000,35.0000,35.0000,0.0000,0.0000,0.0000,0.0000
Sn1Ta3,6.6925,1.8587,0.00775,0.09254,6.42137,5.2589,15.1063,43.7931,149.8289,165.3884,62.2379,23.3392,31.1189,26.9498,1.5450,1.6225,0.3100,0.1163,0.1550,0.1342,7.6170,7.7535,0.5460,0.2048,0.2730,0.2364,1.7300,1.6150,0.4600,0.1725,0.2300,0.1992,0.7610,0.5415,0.8780,0.3293,0.4390,0.3802,61.8000,59.4000,9.6000,3.6000,4.8000,4.1569
Ag1B2,6.7,0.6849,0.01870,0.00411,0.32128,3.3193,6.9625,18.5978,59.3396,43.1634,97.0572,43.1365,48.5286,45.7532,1.1450,1.0433,0.6100,0.2711,0.3050,0.2876,7.9370,8.0573,0.7220,0.3209,0.3610,0.3404,1.9850,2.0033,0.1100,0.0489,0.0550,0.0519,0.7895,0.6187,1.0250,0.4556,0.5125,0.4832,228.5000,161.3333,403.0000,179.1111,201.5000,189.9760
Nb1Se2,6.814619048,2.3222,0.00943,0.27422,12.52273,6.3775,6.6983,37.4494,85.9387,83.6161,13.9354,6.1935,6.9677,6.5692,1.4200,1.3467,0.4400,0.1956,0.2200,0.2074,8.2555,8.7543,2.9930,1.3302,1.4965,1.4109,2.0750,2.2333,0.9500,0.4222,0.4750,0.4478,1.4570,1.6450,1.1280,0.5013,0.5640,0.5317,27.2600,18.3467,53.4800,23.7689,26.7400,25.2107
Li1Pb1,7.2,0.7639,0.00615,0.00209,0.44577,3.5072,8.2426,25.9796,107.0705,107.0705,200.2590,100.1295,100.1295,100.1295,1.3700,1.3700,0.1800,0.0900,0.0900,0.0900,6.4045,6.4045,2.0250,1.0125,1.0125,1.0125,1.6550,1.6550,1.3500,0.6750,0.6750,0.6750,0.4890,0.4890,0.2580,0.1290,0.1290,0.1290,60.0000,60.0000,50.0000,25.0000,25.0000,25.0000
Tc1,7.794166667,1.1769,0.01412,0.02708,1.63012,3.2613,11.6911,8.3745,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,1.4700,1.4700,0.0000,0.0000,0.0000,0.0000,7.2800,7.2800,0.0000,0.0000,0.0000,0.0000,1.9000,1.9000,0.0000,0.0000,0.0000,0.0000,0.5500,0.5500,0.0000,0.0000,0.0000,0.0000,51.0000,51.0000,0.0000,0.0000,0.0000,0.0000
P1Ru1Zr1,8.496153846,1.2653,0.01317,0.03376,2.02573,5.5275,8.2949,26.9161,74.4219,74.4219,70.0962,28.9654,30.9844,30.9844,1.4267,1.4267,0.6800,0.2378,0.2786,0.2786,8.1607,8.1607,3.8530,1.5509,1.6715,1.6715,1.9067,1.9067,0.8700,0.3844,0.4078,0.4078,0.7407,0.7407,0.6240,0.2098,0.2548,0.2548,47.6453,47.6453,119.7640,48.2364,51.9779,51.9779
C1Ta1,8.6375,0.7173,0.02320,0.00614,0.36906,3.1369,14.6800,13.1443,96.4793,96.4793,168.9372,84.4686,84.4686,84.4686,1.2150,1.2150,0.9700,0.4850,0.4850,0.4850,9.5750,9.5750,3.3700,1.6850,1.6850,1.6850,2.0250,2.0250,1.0500,0.5250,0.5250,0.5250,0.7925,0.7925,0.9410,0.4705,0.4705,0.4705,98.5000,98.5000,83.0000,41.5000,41.5000,41.5000
Hf1N1,8.83,0.7667,0.02443,0.00844,0.45069,3.1791,14.0696,13.6818,96.2464,96.2464,164.4793,82.2396,82.2396,82.2396,1.2300,1.2300,1.0400,0.5200,0.5200,0.5200,10.6795,10.6795,7.7090,3.8545,3.8545,3.8545,2.1700,2.1700,1.7400,0.8700,0.8700,0.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5129,11.5129,22.9742,11.4871,11.4871,11.4871
N1Zr1,9.85,0.7134,0.03017,0.00781,0.36308,3.2166,7.4253,14.1720,52.6144,52.6144,77.2153,38.6076,38.6076,38.6076,1.2300,1.2300,1.0400,0.5200,0.5200,0.5200,10.5840,10.5840,7.9000,3.9500,3.9500,3.9500,2.1850,2.1850,1.7100,0.8550,0.8550,0.8550,0.2130,0.2130,0.4260,0.2130,0.2130,0.2130,11.3629,11.3629,22.6742,11.3371,11.3371,11.3371
C2I2Y2,9.9175,1.6399,0.00648,0.04686,4.41014,6.2161,5.2350,43.5191,75.9403,75.9403,114.8938,42.6198,47.7928,47.7928,1.3400,1.3400,1.1700,0.4067,0.4790,0.4790,9.3093,9.3093,5.0430,2.0616,2.2114,2.2114,2.1433,2.1433,1.4400,0.6156,0.6544,0.6544,1.5430,1.5430,2.7520,1.0107,1.1408,1.1408,52.5497,52.5497,139.5510,58.3002,62.2137,62.2137
C1Mo1,10.152,1.3624,0.01589,0.05475,2.52880,5.5354,8.7412,12.3509,53.9804,53.9804,83.9393,41.9697,41.9697,41.9697,1.1350,1.1350,0.8100,0.4050,0.4050,0.4050,9.1760,9.1760,4.1680,2.0840,2.0840,2.0840,2.3550,2.3550,0.3900,0.1950,0.1950,0.1950,1.0045,1.0045,0.5170,0.2585,0.2585,0.2585,139.5000,139.5000,1.0000,0.5000,0.5000,0.5000
Mo3Os1,11.0225,1.3553,0.01427,0.04815,2.48947,4.9421,13.1535,36.3462,143.0900,119.5200,94.2800,35.3550,47.1400,40.8244,1.4900,1.5150,0.1000,0.0375,0.0500,0.0433,7.8960,7.4940,1.6080,0.6030,0.8040,0.6963,2.1800,2.1700,0.0400,0.0150,0.0200,0.0173,0.9230,0.8345,0.3540,0.1328,0.1770,0.1533,113.5000,126.2500,51.0000,19.1250,25.5000,22.0836
C6Ca,11.303,0.7565,0.03028,0.00992,0.43294,5.0750,2.5989,43.1504,26.0444,16.0203,28.0673,6.8736,14.0337,9.8215,1.2450,0.8771,1.0300,0.2522,0.5150,0.3604,8.6865,10.5247,5.1470,1.2605,2.5735,1.8011,1.7750,2.3286,1.5500,0.3796,0.7750,0.5424,0.6315,1.0826,1.2630,0.3093,0.6315,0.4420,170.0000,148.5714,60.0000,14.6939,30.0000,20.9956
Nb3Sn1,16.709,2.4058,0.01037,0.34751,13.92447,5.2577,9.0812,43.7641,105.8082,99.3573,25.8036,9.6764,12.9018,11.1733,1.5150,1.5775,0.2500,0.0938,0.1250,0.1083,7.0515,6.9053,0.5850,0.2194,0.2925,0.2533,1.7800,1.6900,0.3600,0.1350,0.1800,0.1559,1.0465,0.9698,0.3070,0.1151,0.1535,0.1329,60.3000,57.1500,12.6000,4.7250,6.3000,5.4560
B2Mg0.98,38.4,0.6136,0.06084,0.00862,0.23102,3.2074,2.6844,17.1080,17.5580,15.3090,13.4940,5.9973,6.7470,6.3611,1.1250,1.0300,0.5700,0.2533,0.2850,0.2687,7.9720,8.0807,0.6520,0.2898,0.3260,0.3074,1.6750,1.7967,0.7300,0.3244,0.3650,0.3441,0.1385,0.1847,0.2770,0.1231,0.1385,0.1306,93.5000,71.3333,133.0000,59.1111,66.5000,62.6968
