3dsc_formula,Tc_exp (K),lambda,w_log (eV),lambda4w_low (eV),lambda3,L_avg (AA),density (g / cm^3),V_molar (cm^3 / mol),at_mass_mean (g / mol),at_mass_wtd_mean (g / mol),at_mass_range (g / mol),at_mass_wtd_range (g / mol),at_mass_std (g / mol),at_mass_wtd_std (g / mol),at_rad_mean (AA),at_rad_wtd_mean (AA),at_rad_range (AA),at_rad_wtd_range (AA),at_rad_std (AA),at_rad_wtd_std (AA),IP_mean (eV),IP_wtd_mean (eV),IP_range (eV),IP_wtd_range (eV),IP_std (eV),IP_wtd_std (eV),PE_mean,PE_wtd_mean,PE_range,PE_wtd_range,PE_std,PE_wtd_std,EA_mean (eV),EA_wtd_mean (eV),EA_range (eV),EA_wtd_range (eV),EA_std (eV),EA_wtd_std (eV),ThermalCond_mean (W / m K),ThermalCond_wtd_mean (W / m K),ThermalCond_range (W / m K),ThermalCond_wtd_range (W / m K),ThermalCond_std (W / m K),ThermalCond_wtd_std (W / m K)
Be2Ta3,1,0.3723,0.01579,0.00030,0.05160,5.4003,13.5344,41.4402,94.9800,112.1736,171.9357,82.5291,85.9678,84.2309,1.3300,1.4040,0.7400,0.3552,0.3700,0.3625,8.6065,8.4632,1.4330,0.6878,0.7165,0.7020,1.5350,1.5280,0.0700,0.0336,0.0350,0.0343,0.1610,0.1932,0.3220,0.1546,0.1610,0.1577,123.5000,110.2000,133.0000,63.8400,66.5000,65.1564
C1Si1,1.075,0.6001,0.04009,0.00520,0.21611,2.8544,4.0489,9.9028,20.0481,20.0481,16.0748,8.0374,8.0374,8.0374,0.9200,0.9200,0.3800,0.1900,0.1900,0.1900,9.7060,9.7060,3.1080,1.5540,1.5540,1.5540,2.2250,2.2250,0.6500,0.3250,0.3250,0.3250,1.3240,1.3240,0.1220,0.0610,0.0610,0.0610,145.0000,145.0000,10.0000,5.0000,5.0000,5.0000
Nb3Sb1,1.1,0.6642,0.01822,0.00355,0.29302,5.2351,9.2703,43.2004,107.3332,100.1198,28.8536,10.8201,14.4268,12.4940,1.5150,1.5775,0.2500,0.0938,0.1250,0.1083,7.6995,7.2293,1.8810,0.7054,0.9405,0.8145,1.8250,1.7125,0.4500,0.1688,0.2250,0.1949,0.9815,0.9373,0.1770,0.0664,0.0885,0.0766,39.0000,46.5000,30.0000,11.2500,15.0000,12.9904
Nb1O1,1.38,0.5126,0.02502,0.00173,0.13469,4.1919,7.3650,14.7869,54.4529,54.4529,76.9070,38.4535,38.4535,38.4535,1.1500,1.1500,0.9800,0.4900,0.4900,0.4900,10.1885,10.1885,6.8590,3.4295,3.4295,3.4295,2.5200,2.5200,1.8400,0.9200,0.9200,0.9200,1.1770,1.1770,0.5680,0.2840,0.2840,0.2840,27.0133,27.0133,53.9734,26.9867,26.9867,26.9867
Sb1,1.416666667,1.1036,0.00924,0.01370,1.34411,3.0620,7.0426,17.2890,121.7600,121.7600,0.0000,0.0000,0.0000,0.0000,1.3900,1.3900,0.0000,0.0000,0.0000,0.0000,8.6400,8.6400,0.0000,0.0000,0.0000,0.0000,2.0500,2.0500,0.0000,0.0000,0.0000,0.0000,1.0700,1.0700,0.0000,0.0000,0.0000,0.0000,24.0000,24.0000,0.0000,0.0000,0.0000,0.0000
Sb1Sn1,1.43,0.8586,0.00783,0.00426,0.63295,4.3019,7.0930,33.9025,120.2350,120.2350,3.0500,1.5250,1.5250,1.5250,1.3900,1.3900,0.0000,0.0000,0.0000,0.0000,7.9920,7.9920,1.2960,0.6480,0.6480,0.6480,2.0050,2.0050,0.0900,0.0450,0.0450,0.0450,1.1350,1.1350,0.1300,0.0650,0.0650,0.0650,45.3000,45.3000,42.6000,21.3000,21.3000,21.3000
S2Ta1,1.4881166665,2.1368,0.00993,0.20700,9.75645,6.1850,7.2532,33.7875,106.5069,81.6933,148.8819,66.1697,74.4409,70.1836,1.3750,1.2667,0.6500,0.2889,0.3250,0.3064,9.1250,9.5367,2.4700,1.0978,1.2350,1.1644,2.0400,2.2200,1.0800,0.4800,0.5400,0.5091,1.1995,1.4920,1.7550,0.7800,0.8775,0.8273,28.6025,19.1367,56.7950,25.2422,28.3975,26.7734
B2C2Y1,1.8,0.4588,0.03593,0.00159,0.09658,4.7208,4.4913,29.9573,37.2425,26.9098,78.0948,24.7984,36.5348,31.0026,1.1567,1.0080,1.1700,0.3568,0.5275,0.4487,8.5917,9.0666,5.0430,1.7547,2.0692,1.9454,1.9367,2.0800,1.3300,0.3760,0.5479,0.4867,0.6157,0.6774,0.9860,0.4685,0.4579,0.4783,61.4000,70.2400,122.8000,55.8080,55.7224,57.0711
Re2Y1,1.83,0.5320,0.01367,0.00109,0.15057,6.4860,14.0834,32.7562,137.5564,153.7733,97.3012,43.2450,48.6506,45.8682,1.7050,1.6400,0.3900,0.1733,0.1950,0.1838,7.0485,7.3257,1.6630,0.7391,0.8315,0.7839,1.5600,1.6733,0.6800,0.3022,0.3400,0.3206,0.2285,0.2023,0.1570,0.0698,0.0785,0.0740,32.6000,37.7333,30.8000,13.6889,15.4000,14.5193
S1Y1,1.9,0.7018,0.01432,0.00347,0.34565,3.8592,4.9425,24.4744,60.4859,60.4859,56.8398,28.4199,28.4199,28.4199,1.4750,1.4750,0.8500,0.4250,0.4250,0.4250,8.2885,8.2885,4.1430,2.0715,2.0715,2.0715,1.9000,1.9000,1.3600,0.6800,0.6800,0.6800,1.1920,1.1920,1.7700,0.8850,0.8850,0.8850,8.7025,8.7025,16.9950,8.4975,8.4975,8.4975
Ga2Pt1,1.9,0.7754,0.00792,0.00286,0.46621,4.1832,10.7315,31.1726,132.4035,111.5100,125.3610,55.7160,62.6805,59.0957,1.2900,1.2667,0.1400,0.0622,0.0700,0.0660,7.4789,6.9856,2.9598,1.3155,1.4799,1.3953,2.0450,1.9667,0.4700,0.2089,0.2350,0.2216,1.2140,0.9093,1.8280,0.8124,0.9140,0.8617,50.5000,43.3333,43.0000,19.1111,21.5000,20.2704
Mo0.5Rh0.5,1.94,0.6118,0.01776,0.00249,0.22900,3.9588,11.6029,17.1384,99.4278,99.4278,6.9555,3.4778,3.4778,3.4778,1.4800,1.4800,0.1200,0.0600,0.0600,0.0600,7.2755,7.2755,0.3670,0.1835,0.1835,0.1835,2.2200,2.2200,0.1200,0.0600,0.0600,0.0600,0.9415,0.9415,0.3910,0.1955,0.1955,0.1955,144.5000,144.5000,11.0000,5.5000,5.5000,5.5000
Pd2Sc1Sn1,2.1225,0.6677,0.00775,0.00154,0.29768,4.5882,9.1538,41.1311,119.3452,116.1139,26.4855,9.6939,10.8220,10.9160,1.7400,1.6525,1.0500,0.3938,0.4950,0.4547,6.5250,6.9780,4.4430,1.5420,1.9041,1.8261,1.6500,1.7875,1.4100,0.4988,0.6160,0.5842,0.7430,0.6965,0.7280,0.2518,0.3250,0.2928,51.5333,56.6500,56.0000,20.3250,25.2224,23.5726
Be2Nb1,2.15,0.4840,0.02513,0.00138,0.11338,4.5804,5.4216,20.4609,50.9593,36.9769,83.8942,37.2863,41.9471,39.5481,1.3000,1.1867,0.6800,0.3022,0.3400,0.3206,8.0410,8.4683,2.5640,1.1396,1.2820,1.2087,1.5850,1.5800,0.0300,0.0133,0.0150,0.0141,0.4465,0.2977,0.8930,0.3969,0.4465,0.4210,122.0000,144.6667,136.0000,60.4444,68.0000,64.1110
In1Te1,2.206,0.9116,0.00551,0.00381,0.75755,4.3492,6.9199,35.0319,121.2090,121.2090,12.7820,6.3910,6.3910,6.3910,1.4000,1.4000,0.0400,0.0200,0.0200,0.0200,7.3980,7.3980,3.2240,1.6120,1.6120,1.6120,1.9400,1.9400,0.3200,0.1600,0.1600,0.1600,1.1355,1.1355,1.6710,0.8355,0.8355,0.8355,42.5000,42.5000,79.0000,39.5000,39.5000,39.5000
C2Cl2Y2,2.3,1.4190,0.00704,0.02854,2.85724,5.7998,3.7649,36.2210,45.4564,45.4564,76.8951,28.9663,32.1794,32.1794,1.2167,1.2167,1.1700,0.4556,0.4975,0.4975,10.1483,10.1483,6.7510,2.6209,2.8660,2.8660,2.3100,2.3100,1.9400,0.7267,0.8100,0.8100,1.7290,1.7290,3.3100,1.2587,1.3909,1.3909,52.4030,52.4030,139.9911,58.3980,62.3368,62.3368
Be2Nb3,2.3,0.4496,0.01938,0.00079,0.09088,5.4114,7.1107,41.7322,50.9593,59.3487,83.8942,40.2692,41.9471,41.0996,1.3000,1.3680,0.6800,0.3264,0.3400,0.3331,8.0410,7.7846,2.5640,1.2307,1.2820,1.2561,1.5850,1.5880,0.0300,0.0144,0.0150,0.0147,0.4465,0.5358,0.8930,0.4286,0.4465,0.4375,122.0000,108.4000,136.0000,65.2800,68.0000,66.6261
Pb1Pd2Sc1,2.4,0.8331,0.00285,0.00137,0.57822,4.6561,10.8179,42.9840,148.8418,138.2364,100.7800,34.4818,42.6586,41.2582,1.7633,1.6700,1.0500,0.3850,0.4793,0.4455,6.5493,6.9963,4.4430,1.5511,1.9148,1.8300,1.7733,1.8800,1.5400,0.5450,0.6973,0.6315,0.4630,0.4865,0.1970,0.0705,0.0807,0.0809,41.0000,48.7500,56.0000,23.2500,23.2522,24.2010
As1Pt1Sr1,2.425,0.7421,0.00825,0.00250,0.40868,5.7906,8.5629,41.7647,119.2085,119.2085,120.1624,50.5836,53.9019,53.9019,1.5000,1.5000,0.7600,0.3000,0.3257,0.3257,8.1563,8.1563,4.1200,1.6409,1.7751,1.7751,1.8033,1.8033,1.3300,0.5689,0.6048,0.6048,0.9793,0.9793,2.1280,0.7658,0.8770,0.8770,52.3333,52.3333,37.0000,13.1111,15.1950,15.1950
Bi1Nb3,2.516666667,0.6678,0.01427,0.00284,0.29781,5.3053,10.8470,44.9618,150.9434,121.9249,116.0740,43.5278,58.0370,50.2615,1.5600,1.6000,0.1600,0.0600,0.0800,0.0693,7.0240,6.8915,0.5300,0.1988,0.2650,0.2295,1.8100,1.7050,0.4200,0.1575,0.2100,0.1819,0.9195,0.9063,0.0530,0.0199,0.0265,0.0229,31.0000,42.5000,46.0000,17.2500,23.0000,19.9186
Re1,2.581333333,0.7692,0.01409,0.00493,0.45511,3.3139,21.2619,8.7578,186.2070,186.2070,0.0000,0.0000,0.0000,0.0000,1.5100,1.5100,0.0000,0.0000,0.0000,0.0000,7.8800,7.8800,0.0000,0.0000,0.0000,0.0000,1.9000,1.9000,0.0000,0.0000,0.0000,0.0000,0.1500,0.1500,0.0000,0.0000,0.0000,0.0000,48.0000,48.0000,0.0000,0.0000,0.0000,0.0000
Hf1In1Pd2,2.63,0.7254,0.00722,0.00200,0.38171,4.5979,12.2280,41.3925,133.2413,126.5360,72.0660,25.9750,32.1760,30.1887,1.5200,1.4875,0.3600,0.1313,0.1631,0.1520,6.9827,7.3213,2.5510,1.0158,1.0474,1.0801,1.7600,1.8700,0.9000,0.3300,0.3677,0.3711,0.2857,0.3535,0.5570,0.2035,0.2276,0.2295,59.0000,62.2500,59.0000,19.6250,25.7811,23.0258
Nb3Rh1,2.742333333,0.6014,0.01728,0.00226,0.21752,5.1045,9.5291,40.0483,97.9059,95.4062,9.9991,3.7497,4.9996,4.3298,1.5300,1.5850,0.2200,0.0825,0.1100,0.0953,7.1090,6.9340,0.7000,0.2625,0.3500,0.3031,1.9400,1.7700,0.6800,0.2550,0.3400,0.2944,1.0150,0.9540,0.2440,0.0915,0.1220,0.1057,102.0000,78.0000,96.0000,36.0000,48.0000,41.5692
Ga1Ni2Zr1,2.87,1.3235,0.00517,0.01587,2.31831,4.2653,8.4233,33.0433,73.2128,69.5830,32.5286,10.8896,13.5071,13.2800,1.4033,1.3625,0.5300,0.1938,0.2453,0.2239,6.7577,6.9783,1.6410,0.6618,0.6756,0.6988,1.6833,1.7400,0.5800,0.2050,0.2532,0.2402,0.6273,0.7595,0.8560,0.3965,0.3773,0.3990,47.5667,58.4250,68.3000,32.5750,30.8195,32.6511
N1Ni3Zn1,3,1.6983,0.01064,0.08853,4.89828,3.7095,8.3108,30.7392,46.0267,51.0934,51.3733,14.8347,22.8055,18.7233,1.0567,1.1300,0.5300,0.1680,0.2453,0.2101,10.5227,9.3696,6.8940,2.0755,2.9254,2.6701,2.2000,2.0840,1.3900,0.3824,0.6034,0.4885,0.3853,0.6936,1.1560,0.5549,0.5449,0.5663,69.0086,77.8052,115.9742,31.1117,49.8345,40.0769
B1Hf1,3.1,0.4486,0.02589,0.00105,0.09028,3.3866,11.4454,16.5394,94.6485,94.6485,167.6750,83.8375,83.8375,83.8375,1.2950,1.2950,0.9100,0.4550,0.4550,0.4550,7.5615,7.5615,1.4730,0.7365,0.7365,0.7365,1.6700,1.6700,0.7400,0.3700,0.3700,0.3700,0.1385,0.1385,0.2770,0.1385,0.1385,0.1385,25.0000,25.0000,4.0000,2.0000,2.0000,2.0000
Pt0.25V0.75,3.1025,1.0002,0.02151,0.02153,1.00060,4.7462,10.8070,32.1930,123.0128,86.9771,144.1425,54.0534,72.0713,62.4155,1.4450,1.4875,0.1700,0.0638,0.0850,0.0736,7.8524,7.2992,2.2128,0.8298,1.1064,0.9582,1.9550,1.7925,0.6500,0.2438,0.3250,0.2815,1.3265,0.9258,1.6030,0.6011,0.8015,0.6941,51.3500,41.0250,41.3000,15.4875,20.6500,17.8834
C2Y1,3.15,0.5791,0.02259,0.00254,0.19421,4.0017,4.6459,24.3069,50.4583,37.6424,76.8951,34.1756,38.4476,36.2487,1.3150,1.1200,1.1700,0.5200,0.5850,0.5515,8.7385,9.5790,5.0430,2.2413,2.5215,2.3773,1.8850,2.1067,1.3300,0.5911,0.6650,0.6270,0.7850,0.9443,0.9560,0.4249,0.4780,0.4507,78.6000,99.0667,122.8000,54.5778,61.4000,57.8885
