3dsc_formula,Tc_exp (K),L_avg (AA),bulk_mod (GPa),density (g / cm^3),V_molar (cm^3 / mol),w_log (K),lambda,lambda4w_low (K),lambda3,mean_at_mass (g / mol),wtd_mean_at_mass (g / mol),range_at_mass (g / mol),wtd_range_at_mass (g / mol),std_at_mass (g / mol),wtd_std_at_mass (g / mol),mean_at_rad (AA),wtd_mean_at_rad (AA),range_at_rad (AA),wtd_range_at_rad (AA),std_at_rad (AA),wtd_std_at_rad (AA),mean_IP (eV),wtd_mean_IP (eV),range_IP (eV),wtd_range_IP (eV),std_IP (eV),wtd_std_IP (eV),mean_EA (eV),wtd_mean_EA (eV),range_EA (eV),wtd_range_EA (eV),std_EA (eV),wtd_std_EA (eV),mean_PE,wtd_mean_PE,range_PE,wtd_range_PE,std_PE,wtd_std_PE,mean_ThermalCond (W / m K),wtd_mean_ThermalCond (W / m K),range_ThermalCond (W / m K),wtd_range_ThermalCond (W / m K),std_ThermalCond (W / m K),wtd_std_ThermalCond (W / m K)
La1Se1,1.02,6.100,37.100,6.37000,34.20338,116.2623,0.3677,2.125,0.050,108.9382,108.9382,59.9345,29.9672,29.9672,29.9672,1.6350,1.6350,0.8700,0.4350,0.4350,0.4350,7.6645,7.6645,4.1750,2.0875,2.0875,2.0875,1.2605,1.2605,1.5210,0.7605,0.7605,0.7605,1.8250,1.8250,1.4500,0.7250,0.7250,0.7250,6.7600,6.7600,12.4800,6.2400,6.2400,6.2400
Al1Nb1Ni2,1.075,5.960,182.970,7.44000,31.89165,156.155,0.7237,42.834,0.379,59.5271,59.3187,65.9248,22.6013,26.9202,23.3142,1.3633,1.3325,0.4300,0.3175,0.1960,0.1718,6.7950,7.0063,1.6540,2.3235,0.6757,0.6131,0.8300,0.9115,0.7150,0.4678,0.2953,0.2653,1.7067,1.7575,0.3100,0.5550,0.1438,0.1321,126.6667,117.7500,181.0000,45.2500,78.0783,68.0573
Co1Si2,1.306666667,5.310,171.370,5.10000,22.56925,342.3375,0.328,3.962,0.035,43.5096,38.3684,30.8472,0.9204,15.4236,13.2745,1.1850,1.1600,0.1500,0.3200,0.0750,0.0646,8.0165,8.0617,0.2710,2.8077,0.1355,0.1166,1.0230,1.1437,0.7240,0.7030,0.3620,0.3116,1.8900,1.8933,0.0200,0.6400,0.0100,0.0086,125.0000,133.3333,50.0000,66.6667,25.0000,21.5166
Nb1O1,1.38,4.250,248.030,7.07000,15.40387,322.0491,0.4618,14.647,0.098,54.4529,54.4529,76.9070,38.4535,38.4535,38.4535,1.1500,1.1500,0.9800,0.4900,0.4900,0.4900,10.1885,10.1885,6.8590,3.4295,3.4295,3.4295,1.1770,1.1770,0.5680,0.2840,0.2840,0.2840,2.5200,2.5200,1.8400,0.9200,0.9200,0.9200,27.0133,27.0133,53.9734,26.9867,26.9867,26.9867
Cr1,1.55,2.970,262.330,6.60000,7.87818,355.7263,0.4494,14.509,0.091,51.9961,51.9961,0.0000,0.0000,0.0000,0.0000,1.3900,1.3900,0.0000,0.0000,0.0000,0.0000,6.7670,6.7670,0.0000,0.0000,0.0000,0.0000,0.6660,0.6660,0.0000,0.0000,0.0000,0.0000,1.6600,1.6600,0.0000,0.0000,0.0000,0.0000,94.0000,94.0000,0.0000,0.0000,0.0000,0.0000
Hg2Na1,1.62,4.493,26.410,9.47000,44.79089,57.6296,0.6157,8.282,0.233,111.7909,141.3913,177.6022,126.0647,88.8011,76.4278,1.4900,1.4333,0.3400,0.3267,0.1700,0.1463,7.7885,8.6717,5.2990,5.2457,2.6495,2.2803,0.2740,0.1827,0.5480,0.1827,0.2740,0.2358,1.4650,1.6433,1.0700,1.0233,0.5350,0.4605,74.1500,52.2000,131.7000,41.1333,65.8500,56.6747
Ga2Y1,1.68,4.163,80.170,6.06000,37.68182,21.961,1.1679,40.858,1.593,79.3144,76.1173,19.1828,16.8467,9.5914,8.2550,1.5600,1.4467,0.6800,0.1800,0.3400,0.2926,6.1080,6.0717,0.2180,1.9270,0.1090,0.0938,0.3035,0.3023,0.0070,0.0977,0.0035,0.0030,1.5150,1.6133,0.5900,0.8000,0.2950,0.2539,23.0000,25.0000,12.0000,13.6667,6.0000,5.1640
Be2Nb1,2.15,6.550,155.600,5.25000,21.12966,325.3372,0.4657,15.302,0.101,51.0141,37.0500,83.7845,24.8876,41.8923,36.0551,1.3000,1.1867,0.6800,0.0933,0.3400,0.2926,8.0410,8.4683,2.5640,3.9623,1.2820,1.1034,0.4465,0.2977,0.8930,0.2977,0.4465,0.3843,1.5850,1.5800,0.0300,0.5133,0.0150,0.0129,122.0000,144.6667,136.0000,108.6667,68.0000,58.5251
Ge1Mo3,2.1792,4.940,236.400,9.93000,36.30211,276.0454,0.451,11.421,0.092,84.2900,90.1200,23.3200,53.8050,11.6600,9.2180,1.3700,1.4550,0.3400,0.8550,0.1700,0.1344,7.4960,7.2940,0.8080,3.3440,0.4040,0.3194,1.0480,0.8970,0.6040,0.2220,0.3020,0.2388,2.0850,2.1225,0.1500,1.1175,0.0750,0.0593,99.5000,119.2500,79.0000,89.2500,39.5000,31.2275
B1Hf1,3.1,4.840,174.030,11.10000,17.05405,352.6874,0.401,9.119,0.064,94.6460,94.6460,167.6800,83.8400,83.8400,83.8400,1.2950,1.2950,0.9100,0.4550,0.4550,0.4550,7.5615,7.5615,1.4730,0.7365,0.7365,0.7365,0.1385,0.1385,0.2770,0.1385,0.1385,0.1385,1.6700,1.6700,0.7400,0.3700,0.3700,0.3700,25.0000,25.0000,4.0000,2.0000,2.0000,2.0000
