# FEAT_ID     Score                   Feature Expression
33            0.419802703697251478    ((((wtd_mean_ThermalCond-4.083994e+02) / (lambda4w_low-4.838420e+00))-4.312567e+02) * (((wtd_std_at_mass-1.718508e+01) / (wtd_mean_PE-2.113831e+00))-7.952457e+02))
34            0.420131552370003269    ((((std_at_mass-2.923531e+01) / (mean_IP-7.058858e+00))+3.645230e+01) * (((wtd_mean_IP-7.555374e-01) / (lambda3-4.786827e-02))-6.871032e+00))
35            0.421396710726962997    (((wtd_range_ThermalCond-3.575315e+01) / (density-8.492927e+00)) - (1.058025e+02*((range_EA-6.610437e-01) * (mean_EA-6.151831e-01))))
36            0.42415339695342813     (((mean_at_rad+1.195872e+01) / (lambda3-4.771754e-02)) - (1.881388e+03*((wtd_range_PE-9.198253e-01) / (wtd_mean_IP-7.165868e+00))))
37            0.425745393985053067    ((((std_IP-3.935480e+00) / (wtd_mean_IP-7.213962e+00))-1.019192e+01) * (((wtd_std_IP+2.864810e-01) / (lambda3-4.759871e-02))+2.643083e+01))
38            0.428238461616194777    (((wtd_range_PE-1.015693e+02) / (wtd_mean_IP-7.212100e+00)) - (1.410608e+02*((wtd_mean_PE-1.451915e+00) / (lambda3-4.816286e-02))))
39            0.430255626214071984    (((wtd_std_ThermalCond+1.351977e+02) / (lambda3-8.421798e-03)) - (7.922193e+01*((wtd_mean_ThermalCond-4.698640e+01) / (mean_IP-7.050080e+00))))
40            0.465756125694058554    (((bulk_mod-6.403195e+01) / (lambda4w_low-4.404679e+00)) - (4.304688e+02*((std_EA+1.683285e+00) / (wtd_mean_at_mass-1.003757e+02))))
41            0.47316947558286887     (((bulk_mod-4.344836e+01) / (lambda4w_low-4.415568e+00)) - (6.190525e+02*((std_PE+6.882687e-01) / (wtd_mean_at_mass-9.995614e+01))))
42            0.474006468619475818    (((bulk_mod-2.939223e+01) / (lambda4w_low-4.416222e+00)) - (1.444243e+03*((mean_PE-1.638451e+00) / (wtd_mean_at_mass-9.956676e+01))))
43            0.475411203058084431    (((bulk_mod-4.873400e+00) / (lambda4w_low-4.414004e+00)) - (1.781697e-02*((mean_at_rad+5.332991e+04) / (wtd_mean_at_mass-1.002341e+02))))
44            0.475648387639829917    (((bulk_mod-1.171502e+01) / (lambda4w_low-4.414025e+00)) - (3.952798e-02*((wtd_range_at_rad+2.306666e+04) / (wtd_mean_at_mass-1.002243e+02))))
45            0.475651817470910787    (((bulk_mod-1.291895e+01) / (lambda4w_low-4.414067e+00)) - (2.654014e-02*((mean_EA+3.412872e+04) / (wtd_mean_at_mass-1.002239e+02))))
46            0.48120610235613126     (((bulk_mod-3.564469e+01) / (lambda4w_low-4.412641e+00)) - (2.561446e+02*((wtd_mean_PE+2.093946e-01) / (wtd_mean_at_mass-9.988302e+01))))
47            0.482377069318686458    (((bulk_mod-4.375035e+01) / (lambda4w_low-4.415211e+00)) - (1.565718e+02*((wtd_range_PE+2.320949e+00) / (wtd_mean_at_mass-9.989074e+01))))
