# FEAT_ID     Feature Postfix Expression (RPN)
0             43|2|div|5|21|mult|mult:5.7716659557661e+01,-2.2904127915759e+01,3.0801094562648e+00,-2.6604759142215e+00,-1.1420217369254e+02,-2.6368184007684e+00
1             2|9|div|5|21|mult|mult:1.2176799837481e-02,-1.0076593512258e+02,8.7551796984601e+00,1.7831316125255e+00,-3.2440820513911e+00,-1.5064103569821e+01
2             13|9|div|21|7|mult|mult:2.3063350001618e-01,-8.9203629748337e+01,-5.6654526373064e+00,3.1053260505045e+01,-2.0803402401310e+01,-1.4782394374822e+01
3             21|5|div|30|8|div|mult:7.2887694165270e-01,7.2244890732828e-02,1.2441799003831e-01,-1.8043308913521e+01,-1.5121050121304e+01,5.7275927535054e+00
4             7|20|mult|12|15|div|mult:-1.0016603393902e+02,1.2027064051549e+02,-2.8593552656401e+01,-1.0278082025121e+00,3.9444167919620e+01,-5.9645058813259e+00
5             35|5|abd|21|8|div|mult:-4.8640688507518e-02,1.5043743976203e-02,-6.7480903195910e+00,-1.6047670573698e+01,-1.8571739213123e+00,1.4291730648458e+00
6             35|8|div|5|21|div|mult:1.6085293741833e-01,1.2913294728182e+00,-1.3867668392976e+01,-1.8697314368432e+00,1.0122246881186e-02,-1.8447996332561e+01
7             5|21|mult|11|8|div|mult:-9.7819638646725e+01,4.3789053780308e-01,-2.0943800694372e+01,-1.7390636656925e+01,9.3459488082851e+00,1.4973916153376e+00
8             21|5|mult|11|8|div|mult:-9.8170009949913e+01,4.4417364849285e-01,-2.1233250200286e+01,-1.7398325766814e+01,1.4930570167124e+00,9.3972474338107e+00
9             30|2|div|5|21|div|mult:2.0851701049417e+00,1.7036169917929e+00,-3.1106018848584e+01,8.7399429050833e+00,-1.3639712869912e+00,-2.6280192997144e+00
10            5|20|div|41|2|div|mult:9.0786705942967e-01,7.1020992207573e+01,-9.8478325450057e+01,-2.5941397260749e+00,-2.9216099694841e+01,2.1224950841811e+01
11            10|2|div|5|20|div|mult:9.2244116886679e+01,1.6142060051352e+00,-3.1954162226517e+01,1.0591789538896e+01,-9.8276414245181e+01,-2.6196762995036e+00
12            7|8|div|21|5|mult|mult:-9.3647976480172e+01,1.6366958354670e+01,-1.2985128879635e+01,-9.4029730899337e+00,-9.4056555514849e+01,-1.7924426793379e+01
13            5|21|mult|9|8|div|mult:-1.2700404015829e+02,2.4441917522449e-01,-2.9515178222183e+01,-1.7094131985065e+01,1.1836967015735e+01,1.4681652649695e+00
14            43|2|div|21|5|mult|mult:6.0916980919173e+01,-2.5253972574593e+01,-2.8494771315143e+00,3.7788056808084e+00,-1.1375904267733e+02,-2.6450532947329e+00
15            18|17|abd|5|9|div|mult:-4.6925233549657e-02,1.9178952814758e-02,-4.0985540968618e+00,-1.7252388531334e+01,1.1855389668966e+00,-4.1791526233586e-02
16            11|8|div|5|20|div|mult:1.1205257760139e+00,1.7405438067518e+00,-1.4620209511498e+01,-1.5765950930573e-01,-2.9970822688583e+01,-1.7346950987588e+01
17            5|20|mult|9|8|div|mult:-1.2300812577033e+02,2.6511343471461e-01,-3.2820114012077e+01,-1.7167239376970e+01,1.1148522155644e+01,1.9787837005543e+00
18            20|5|mult|11|8|div|mult:-7.9237605658782e+01,9.8190337480035e-01,-2.7702352971848e+01,-1.7171258048067e+01,9.1756277551886e-01,7.7932207530742e+00
19            20|5|mult|9|8|div|mult:-1.1816547039885e+02,3.0765991972882e-01,-3.2678081317859e+01,-1.7223344682660e+01,1.8297589160614e+00,1.0895046475958e+01
20            5|20|div|11|8|div|mult:1.5737224889452e+00,1.1422281380057e+00,-3.0367908708074e+01,-1.7294362464019e+01,-1.4955129151678e+01,8.3468840199353e-01
21            21|8|div|35|5|abd|mult:6.7998670562684e-03,-2.7632235350228e-01,-1.4893687570171e+00,1.3531847958887e+00,-6.2193752072248e+00,-1.6370139055638e+01
22            2|9|div|5|20|div|mult:2.4897637842121e-02,1.3778073683380e+00,-1.0825840478078e+01,-1.1365524626500e+00,-3.9889875914702e+00,-1.4964101310359e+01
23            42|9|div|5|21|div|mult:3.4666819722180e+01,1.7147978566163e+00,-1.8981151187653e+02,1.0399299159364e+02,-2.8493378947939e+02,-1.6167111299610e+01
24            5|20|div|2|9|div|mult:1.4560013456132e+00,5.0017035567337e-02,-4.2621801874856e+00,-1.4978462422230e+01,-1.3087610392717e+01,7.2400789344099e-02
25            6|5|div|2|8|div|mult:-3.6943973850485e+01,-2.3157483314848e-02,-9.9545990882851e-02,-1.7232251716614e+01,-2.8700440448179e+01,-3.6486376734661e-01
26            9|20|div|5|9|div|mult:1.5602650690469e+00,9.8044769559601e-03,-1.6322188125832e+01,-1.5166575643967e+01,-2.6611417677797e+01,-8.1227089245188e-01
27            10|2|div|5|21|div|mult:5.6187632108818e+01,1.8801448377228e+00,-2.0479478619632e+01,2.7479610357031e+00,-9.2279058034606e+01,-2.7059775384592e+00
28            32|8|div|5|21|div|mult:4.0231394045165e-02,9.5388894910175e-01,-1.4303119519024e+01,-1.6914374606867e+00,-1.6551684750965e+00,-1.7667854833618e+01
29            32|9|div|5|21|div|mult:4.4230423362173e-02,6.7366318375684e-01,-1.2986406086008e+01,-2.7892752868301e+00,-1.6278642265703e+00,-1.5576568629820e+01
#-----------------------------------------------------------------------
30            21|20|div|33|9|mult|mult:-2.7567448824984e+01,5.2892303669226e+01,-7.3060267025928e-01,-1.2117679720844e+02,2.2764195996467e+00,-7.0750927856726e+00
31            21|20|div|9|33|mult|mult:-2.5646366910348e+01,5.0667221280753e+01,-1.1852062278083e+02,-7.1726579765763e-01,2.2002955272266e+00,-7.0748949063635e+00
32            43|7|div|1|14|div|mult:-3.8164657673459e+02,-1.4268559799538e+03,-1.2507190781825e+02,-1.5151989606601e+00,8.9808120943356e+00,-4.8792285699427e-02
33            27|20|div|15|14|add|mult:1.3546560693588e-01,-1.1794377240305e+00,0.0000000000000e+00,0.0000000000000e+00,-6.9712839041789e-01,-7.0139881202516e+00
34            24|20|div|10|21|mult|mult:-3.3766322462343e+00,6.5068400915883e+01,-2.4614700197849e+01,-8.4087595107150e+00,-2.1462886058903e+00,-6.9793560268445e+00
35            13|9|div|32|22|mult|mult:2.7205813549053e+00,-5.2387911443003e+02,-1.2049912623233e+01,-6.4195755662362e+01,-8.6009531068300e+01,-9.6149297470754e+01
36            15|20|div|20|27|mult|mult:1.9691765925101e+00,5.6046388075406e+01,-8.1291374731253e+00,-1.0259169733831e+02,-1.4610788719533e+00,-7.0660048097839e+00
37            11|42|mult|30|14|div|mult:9.2443269424446e+01,6.1475475593576e-01,-4.0357415515757e-01,-1.5177144610034e+00,-1.3839364007367e+01,-1.4395927132338e+01
38            13|9|div|22|32|mult|mult:2.6918207467869e+00,-6.8664706686291e+02,-7.4778957882655e+01,-1.2938769393303e+01,-8.6016369631496e+01,-9.6153372624857e+01
39            9|inv|19|20|div|mult:1.2778845643228e+01,1.7235805818815e-01,-3.7045140508060e+01,1.1888582081663e+02,1.0000000000000e+00,-9.9641947703123e+01
40            29|7|div|2|5|div|mult:1.0652161007170e+02,8.9005851632378e+01,-4.5763575080316e+00,-2.9290600040292e+00,4.9243434204481e-01,-4.7479302665179e-02
41            21|15|div|23|7|div|mult:7.8394244372251e+01,1.0808666422532e+02,-1.6552196705726e+01,-4.8591062904293e-02,-1.0457137831615e+01,-1.5779139715343e+00
42            1|7|div|32|4|div|mult:5.6538153803353e+02,4.8311615612062e-02,5.5255525872846e+01,-3.5358515838969e+01,-4.7510277651171e+00,-4.8490952564757e-02
43            1|7|div|0|4|div|mult:6.2264776298903e+02,2.9914279694794e-02,1.5261614707738e+01,-3.5355623900185e+01,-4.2693993718536e+00,-4.8496020551492e-02
44            22|32|div|20|7|div|mult:-1.1968585328116e+02,4.9834302681421e+02,2.0741805607720e+01,-4.8375507673649e-02,-1.1821652619337e+00,-1.7801120113116e+00
45            17|20|mult|1|9|div|mult:9.9817980039826e+01,1.2559185679941e+02,-2.8977990936089e+01,-9.9702241295369e+01,-4.4785939347363e+00,1.4176799155713e+01
46            6|inv|43|4|div|mult:9.0905044957274e-04,-7.4816750750697e-02,-1.1698592466943e+01,-3.4716421456073e+01,1.0000000000000e+00,-6.2753409304430e+01
47            1|7|div|36|4|div|mult:-7.0623775369563e+03,2.8326655956585e-02,-6.9895399336740e-01,-3.5126678936013e+01,1.3281124419458e+02,-4.8236592889311e-02
48            22|6|div|22|9|div|mult:1.2956763008155e+01,-5.0743379136895e+00,-5.8665583722838e+01,-9.9997461330773e+01,5.9657428563616e+01,-1.3899064696976e+01
49            32|21|div|4|7|div|mult:7.4226768625365e+01,2.8586413400754e+03,8.6135343649388e+01,-4.8180955128386e-02,2.7857755242557e+00,-6.9057977887774e+00
50            15|14|div|21|7|div|mult:1.2410820524793e+02,8.9195822082147e+01,-5.7519732283911e+00,-4.7932571665156e-02,-3.3266521864265e-01,-1.5152918057417e+00
51            26|32|div|42|2|div|mult:-2.5469507627843e-01,-4.7195875546799e+00,-6.4515675268486e+01,-8.4614630811402e+00,-4.9062559539324e-01,-1.0046308757284e+00
52            14|9|div|20|7|div|mult:-9.3010426192092e+00,1.1558755888727e+02,5.7201305209192e+00,-1.5072829191193e-01,1.0733445369133e+02,-1.0020357342766e+02
53            28|7|div|21|20|div|mult:-1.4691351318306e+02,2.4745998525838e+00,-6.8871832849722e+00,-7.0511410938042e+00,-5.6786418490842e-01,-9.3046611812877e-04
54            37|cb|4|9|div|mult:1.0248018585978e-01,6.8006862988441e+01,6.4679463255956e+01,-9.9469347739868e+01,1.0000000000000e+00,-1.0470971701510e-01
55            39|9|div|9|35|mult|mult:7.7621316858739e+01,1.1806651328977e+02,-3.6876383278818e+00,-5.9118280647290e-01,3.2824597999646e+01,-9.9780954313996e+01
56            16|9|mult|27|20|div|mult:2.7772748872221e+01,-2.3651995151285e+00,-6.4789396003527e-01,-7.0130326473159e+00,-8.5622662096363e-01,-1.2411637365918e+02
57            9|16|mult|27|20|div|mult:3.0342113236540e+01,-3.7017725065156e+00,-6.4452488175436e-01,-7.0235044091885e+00,-1.2400228752263e+02,-8.5022284752516e-01
58            23|7|div|11|20|div|mult:7.8257276964156e+01,1.3779269966993e+01,-9.9738601091152e+00,-7.0905346056505e+00,-9.0980194467497e-01,-4.7091423861017e-02
59            33|7|div|13|20|div|mult:7.2801943455448e+01,1.7832537780498e+01,-2.5263338659517e+01,-6.9909722724041e+00,-7.8312369153228e-01,-4.7817933947235e-02
#-----------------------------------------------------------------------
60            13|28|mult|19|33|div|mult:1.2001621416098e+00,2.8540193542683e-04,3.4806929267685e-02,-2.4452809067786e+00,-9.6379373222579e+00,1.3235012319260e+00
61            32|inv|16|39|div|mult:2.2259962813196e+00,4.2910302614128e-02,-6.9388968830530e+00,1.1083133897880e+02,1.0000000000000e+00,-2.5220156079710e+00
62            29|32|div|19|sp|mult:-4.2479808945103e+00,3.2774539656394e-03,1.0000000000000e+00,-6.3475451775328e-02,9.0777416628426e-02,-2.3871521691617e+00
63            28|13|mult|19|33|div|mult:1.2336137456923e+00,-8.7838934397164e-03,3.3989524497363e-02,-2.4447238977164e+00,1.3112987653845e+00,-9.5125873215315e+00
64            16|10|mult|18|32|div|mult:4.8136438471844e+01,-1.4560831714424e+00,9.7603671063802e-02,-2.4212979348223e+00,6.9924983818526e-01,2.8785135559619e+01
65            21|31|mult|11|32|div|mult:-3.4535990062672e+01,-1.9485730017212e+02,1.4095401753082e+01,-2.4240246590580e+00,2.6778314686256e+00,3.2233917561293e+00
66            10|16|mult|18|32|div|mult:4.1105865305430e+01,-1.4553396879251e+00,9.7068176573236e-02,-2.4212979348223e+00,3.3307867478769e+01,6.9747652912112e-01
67            37|sp|41|cbrt|mult:4.7943000923969e-03,2.9089769542248e+00,1.0000000000000e+00,-5.3563804862044e-01,1.0000000000000e+00,-4.1460376875950e-01
68            32|16|mult|32|cbrt|mult:4.4116337981178e-02,-1.1110801339556e-01,1.0000000000000e+00,-2.4454819207845e+00,-1.5308952121175e+00,-8.0293910077467e-02
69            23|20|div|25|sp|mult:4.4328599651939e-01,-3.6872481604071e+01,1.0000000000000e+00,2.0805880175644e-01,-4.0947089694878e+00,-9.5947420567639e+00
70            33|20|div|16|24|mult|mult:2.0384589738003e+00,-2.8119399715444e+00,-4.3728675777436e-02,-5.7842556984404e-01,-1.8024014767640e-01,-1.0149742428793e+01
71            32|16|mult|33|cbrt|mult:4.1126147555981e-02,-1.1202654818271e-01,1.0000000000000e+00,-2.4434988641033e+00,-1.5150518836993e+00,-9.6204106028970e-02
72            8|32|div|10|18|mult|mult:-2.1153787364823e+02,4.3487550931089e+01,4.0803220058722e+01,-1.9081796464882e-01,4.1158662905731e+01,-2.4249568455006e+00
73            33|cbrt|19|32|mult|mult:-8.0473475969728e-03,-2.9945238738137e-02,-6.1224294462797e-02,-1.5077285447781e+00,1.0000000000000e+00,-2.4365897010495e+00
74            13|33|div|28|21|div|mult:1.3417891744441e+01,6.8401854178479e-01,-4.6687161030367e+01,5.9214754263342e+01,-3.3586691559134e+00,-2.4038719628036e+00
75            31|0|div|20|14|div|mult:2.6467582592660e-01,2.3310726362853e+00,-8.2988629156442e+00,-1.1775196305127e+00,-1.0391039769879e+00,-5.0213318976145e-01
76            19|cb|30|33|div|mult:1.0028741941850e-02,-5.3670653594966e+00,3.5345846579268e-01,-2.3980857005572e+00,1.0000000000000e+00,-1.9919645948248e-01
77            22|sp|25|20|div|mult:-4.9007833795088e+03,-5.6960178240942e-01,-3.3132399693101e+00,-9.7859985245672e+00,1.0000000000000e+00,2.2069877732275e+00
78            8|32|div|18|10|mult|mult:-1.5305495152654e+02,3.0933370897652e+01,-6.4645306128964e-02,1.0774314169212e+02,3.5055700220732e+01,-2.4254549894110e+00
79            19|32|div|30|2|div|mult:3.2767125239056e+00,-6.9029984312446e-03,-7.1587456964702e+00,5.8414511142207e+01,-3.2058441505987e-01,-2.4205792933925e+00
80            25|21|div|24|sp|mult:-2.8770372657563e-01,-5.8936075910331e+02,1.0000000000000e+00,1.2748905054502e+00,-3.4497697351115e+00,-9.6190114740700e+00
81            29|33|div|19|sp|mult:-2.5728839849404e+00,9.5166643151093e-04,1.0000000000000e+00,-5.9887871689875e-02,1.8623372935728e-01,-2.3828439184788e+00
82            30|32|div|18|sp|mult:-2.5150725257554e+00,1.7421605565221e-03,1.0000000000000e+00,-7.0909428103241e-02,4.3676061911860e-01,-2.3983927267378e+00
83            18|sp|28|32|div|mult:1.2708362132216e-04,-1.8530846262554e+00,1.0227860423066e+00,-2.3798634024921e+00,1.0000000000000e+00,-1.8613157601614e-01
84            22|20|div|25|sp|mult:-1.2398198338885e-01,-2.6271418742793e+02,1.0000000000000e+00,1.0401123810333e+00,-7.2670712195978e+00,-9.6671503943884e+00
85            25|sp|25|20|div|mult:-1.3232885109106e+02,1.3532406847068e-01,-3.8156267372933e+00,-9.6272619579452e+00,1.0000000000000e+00,6.9323442740457e-01
86            14|32|div|16|2|div|mult:8.3538093276254e-01,4.4709160670982e-02,-2.5186383311935e+00,3.5999362823400e+01,-3.0217420977255e+00,-2.4237955322555e+00
87            20|exp|37|16|mult|mult:-1.3287322659855e+04,8.5277509506089e+00,2.2677425420105e+00,-3.7111168189942e+00,1.2394385451255e+00,0.0000000000000e+00
88            22|20|div|22|sp|mult:-9.8360828546518e-01,-2.5173584031161e+04,1.0000000000000e+00,2.3210421702024e+00,-6.6200676755721e+00,-9.6609512217543e+00
89            35|32|abd|12|20|mult|mult:-7.4830805080115e-01,3.3358773813862e+02,8.6681333181041e+01,-9.6253895337009e+00,-1.9266423218276e+00,4.7191620266008e+00
#-----------------------------------------------------------------------
90            18|15|abd|7|cos|mult:4.1112973781266e-02,4.1174127388151e-02,1.8893401374037e+00,-2.6184433826939e-01,3.9886820052295e-01,5.1167834291391e-01
91            16|3|div|13|6|div|mult:3.9727116308628e+01,-8.7473819769293e-01,4.9966339280842e+02,1.0755160967933e+02,1.0523984985808e+02,-2.9625888867617e+01
92            7|cos|34|17|mult|mult:2.2781160917641e-01,2.1988206807252e-01,1.2539255476193e-01,-3.6931284077611e-01,1.6073127178690e+00,5.8905511943066e-01
