# FEAT_ID     Feature Postfix Expression (RPN)
0             21|5|add|4|9|div|mult:-9.0494788830498e+00,1.5778202006632e+01,-5.7302927325052e+02,-1.5422091284033e+01,1.2267110670741e+00,0.0000000000000e+00
1             21|5|mult|26|8|div|add:9.5195344021541e+01,0.0000000000000e+00,-3.5764544301782e+00,-1.9001325208891e+01,2.1208087955029e+00,1.1091705824594e+01
2             21|5|mult|27|8|div|add:8.6209503357783e+01,0.0000000000000e+00,-3.9719557360358e+00,-1.9002514595154e+01,2.0777085487812e+00,1.1038636639290e+01
3             21|5|add|24|8|div|sub:4.2452996829443e-01,0.0000000000000e+00,6.2800114336715e+01,-1.8900712195107e+01,7.6383422308690e-01,0.0000000000000e+00
4             21|5|add|30|8|div|add:1.4738008477700e-02,0.0000000000000e+00,-1.9168719504565e+03,-1.8911850932976e+01,7.9225079512586e-01,0.0000000000000e+00
5             21|5|add|23|8|div|add:3.0152793178936e-03,0.0000000000000e+00,-9.4514724319956e+03,-1.8822760928776e+01,8.4713221990421e-01,0.0000000000000e+00
6             21|5|add|34|8|div|sub:3.9648945309028e-03,0.0000000000000e+00,7.1266339253682e+03,-1.8875901633968e+01,8.1224485835207e-01,0.0000000000000e+00
7             6|11|mult|26|7|div|mult:-1.2552062640630e+02,8.8692272437617e-03,-1.8432887531519e-02,-3.4173229559738e-01,2.4537337651311e+01,-2.2605075953716e+01
8             20|5|add|33|8|div|sub:6.1663111484950e+01,0.0000000000000e+00,-1.8440146167178e+00,-1.7393032151906e+01,6.9262811512494e-01,0.0000000000000e+00
9             21|5|add|33|8|div|sub:6.1669913852562e+01,0.0000000000000e+00,-1.7911471309464e+00,-1.7580115057737e+01,5.3676783466637e-01,0.0000000000000e+00
10            5|21|div|32|8|div|sub:5.7276131720161e+00,0.0000000000000e+00,-1.7526527371415e+00,-1.7213116540945e+01,-4.2255689394994e+01,1.2335824604264e+01
11            21|5|add|3|8|div|add:4.9754711874700e-01,0.0000000000000e+00,-6.5072767816048e+01,-1.8592752123384e+01,8.4859305786350e-01,0.0000000000000e+00
12            20|5|add|31|9|div|sub:9.9770513625143e+01,0.0000000000000e+00,-1.3748302590011e-01,-1.5212968606410e+01,7.7807037319444e-01,0.0000000000000e+00
13            21|5|add|32|8|div|sub:6.2615678629257e+01,0.0000000000000e+00,-1.7738127384434e+00,-1.7165086170633e+01,6.1408476557320e-01,0.0000000000000e+00
14            5|20|div|32|9|div|sub:1.0173078282866e+01,0.0000000000000e+00,-1.7879695430851e+00,-1.4862086192526e+01,-2.1422736131437e+01,2.9816366860574e+00
#-----------------------------------------------------------------------
15            1|sq|24|0|div|sub:6.1747692584542e+03,0.0000000000000e+00,-1.3931933383743e-01,-5.3312951765420e+00,1.0000000000000e+00,-1.6440400043568e+02
16            15|7|div|42|2|div|sub:1.2395800843667e+01,0.0000000000000e+00,-5.9587436951659e+01,-8.7972441935104e+00,7.0016044014796e+00,-4.7807514160808e-02
17            1|7|div|34|21|div|mult:-1.0592928597532e+03,2.8241263007762e+01,3.7822443714544e+00,-6.9048300398146e+00,1.1745660315474e+02,-4.8310923863896e-02
18            17|7|div|41|4|div|add:3.1917317133029e+02,0.0000000000000e+00,-7.3439522648871e+00,-3.5491817212690e+01,4.4381041584257e+00,-4.7770198824348e-02
19            32|7|div|41|4|div|add:3.0864952082271e+03,0.0000000000000e+00,3.4223467303408e+00,-3.5789778558343e+01,5.4567748394488e+01,-4.7815440978802e-02
20            35|7|div|22|20|div|mult:6.9777434985788e+01,1.3170176139217e+01,6.0940708579418e-03,-7.0634249217809e+00,7.4105533824710e-02,-4.7161513099753e-02
21            41|20|div|19|7|div|sub:1.9700531315121e+01,0.0000000000000e+00,1.4043676637162e+00,-4.7761015905726e-02,7.0291557971835e+00,-7.0508340101158e+00
22            38|6|div|23|9|div|sub:3.3856560016628e-03,0.0000000000000e+00,-1.2280179856840e+05,-9.9488129420832e+01,3.5509119582172e+01,-4.6935640899149e+00
23            13|20|div|22|6|div|mult:-5.4041620594045e+00,-1.7179397424727e+01,-1.5023400184252e+02,-4.5882638392163e+00,-2.4997777889190e+01,-7.0034484824805e+00
24            22|6|div|13|20|div|mult:-2.9435784704406e+01,3.3349869071509e+01,-2.5447408923027e+01,-6.9844039463737e+00,-2.2006513298875e+01,-4.7128677863369e+00
25            37|7|div|27|20|div|sub:4.1340505037845e-03,0.0000000000000e+00,-3.5859165454153e+04,-7.0743659072532e+00,7.2435521342335e+00,-4.7575843236233e-02
26            17|7|div|31|20|div|sub:1.4165189404849e+02,0.0000000000000e+00,-5.1704280178263e-01,-7.0799282136674e+00,3.0053047209064e+00,-4.7788296894511e-02
27            11|9|div|40|15|div|sub:7.1447103525129e-06,0.0000000000000e+00,-2.4002963670627e+04,-1.2854548549684e+00,-1.5868911483411e+00,-9.9791033953140e+01
28            10|9|div|37|7|div|sub:4.0595268201028e-04,0.0000000000000e+00,1.6643349963265e+04,-4.7694983666110e-02,-6.1151356360836e+03,-9.9906428617565e+01
29            12|20|div|23|7|div|mult:3.5847731977579e+01,4.2443618313189e+01,3.1899244760859e+00,-4.7740286957994e-02,-3.4323231352448e+01,-7.0468613761192e+00
#-----------------------------------------------------------------------
30            20|15|div|25|12|mult|mult:-5.4989874812951e+01,8.0990366454614e+01,3.5262262113477e-01,-2.9240553478581e+01,-1.0696520730763e+01,-1.1441938151299e+00
31            16|15|div|36|13|add|mult:-2.1416040348173e+00,1.2328646309559e+01,3.3770675872758e+00,0.0000000000000e+00,-1.1155112583814e+00,-1.1443127358785e+00
32            16|26|mult|39|0|div|mult:-1.7562612377801e+00,1.3097570530696e+01,-1.2513208336597e+02,1.1911372538231e+00,9.0980794296306e-01,4.3949051654353e-01
33            15|inv|34|12|sub|mult:1.4702815845718e+01,1.3675212621372e-01,9.0823178585328e-02,0.0000000000000e+00,1.0000000000000e+00,-1.1441780127127e+00
34            26|16|mult|39|0|div|mult:-1.8527510580676e+00,1.3648530583400e+01,-1.2185588306055e+02,7.6142410906906e-01,4.7027010229651e-01,9.5179508527567e-01
35            26|16|mult|0|38|mult|mult:-4.4495222581561e-01,-5.7930999320136e+03,2.8438918130917e+01,1.3154561285487e+02,-1.9151554142384e-01,3.1726924128843e-01
36            16|26|mult|0|38|mult|mult:-4.7704945277436e-01,-5.6216062067481e+03,2.8290853726762e+01,1.2757304494563e+02,3.4804977771328e-01,-1.7296891269173e-01
37            26|19|mult|39|0|div|mult:-7.4738474978221e-01,1.3527746627664e+01,-9.0391705557818e+01,-6.7763940844018e-01,3.3716503669265e-01,4.3576151159522e-01
38            39|0|div|19|26|mult|mult:1.4404609569149e+01,-1.5467948787458e+00,7.3457337728725e-01,8.1143616266533e-01,-9.2898117101173e+01,-7.1395542777627e-01
39            39|0|div|26|19|mult|mult:1.4285457477887e+01,-1.5606601902529e+00,8.2041280465337e-01,7.3778760070025e-01,-9.3231202844704e+01,-6.8624241805939e-01
40            38|0|div|19|27|mult|mult:1.4479822173781e+01,-9.8519616979511e-01,5.4095537288672e-01,4.9162347395783e-01,-8.7104644655575e+01,-9.6451882911425e-01
41            15|inv|19|12|mult|mult:2.4567623112763e+01,2.5856631699939e+02,1.1179147256135e+00,-1.7942498137240e+02,1.0000000000000e+00,-1.1426697589826e+00
42            26|18|mult|0|38|mult|mult:-3.6497971889992e-01,-6.5961320890172e+03,2.4566497758747e+01,1.8034615008386e+02,-1.9472027108363e-02,2.7379143834471e-01
43            19|27|mult|38|0|div|mult:-4.9429739881428e-01,1.3596041687311e+01,-8.8843360796919e+01,-7.3368281180634e-01,2.9641109379212e-01,1.5009592934525e-01
44            27|19|mult|38|0|div|mult:-4.8794534894884e-01,1.3502894414431e+01,-8.9393629544885e+01,-6.9271781513260e-01,1.4647109381349e-01,2.9132631273490e-01
#-----------------------------------------------------------------------
45            42|10|add|34|15|div|sub:1.4481740835954e+00,0.0000000000000e+00,-2.2199271100444e+00,-1.1469083361812e+00,1.2267233677636e+00,0.0000000000000e+00
46            22|10|sub|17|15|div|add:6.8640740926860e+00,0.0000000000000e+00,-7.4469032481748e-01,-1.1423591355855e+00,4.7382830970026e-01,0.0000000000000e+00
47            37|13|add|33|15|div|sub:1.8480554197431e+00,0.0000000000000e+00,-2.8887045916782e+00,-1.1426740292555e+00,2.6905200927410e-01,0.0000000000000e+00
48            12|16|mult|33|15|div|sub:7.6458398405185e+00,0.0000000000000e+00,-2.8449540815866e+00,-1.1427413307636e+00,2.4023169327862e+00,5.1917737087473e-01
